object,time,zone,speed,risk
Animal,Day,Z1,2.44,Low
Vehicle,Day,Z1,5.12,Low
Animal,Night,Z3,4.0,Medium
Animal,Day,Z1,2.41,Low
Human,Night,Z1,3.46,Low
Vehicle,Night,Z3,6.89,High
Human,Night,Z1,1.41,Low
Human,Day,Z2,2.98,Medium
Human,Day,Z1,1.88,Low
Human,Night,Z3,2.09,High
Animal,Day,Z3,3.34,Medium
Human,Day,Z2,2.78,Medium
Human,Day,Z2,1.51,Medium
Human,Night,Z1,1.49,Low
Animal,Day,Z1,3.67,Low
Human,Night,Z3,1.76,High
Vehicle,Night,Z1,5.96,Low
Human,Day,Z3,2.95,Low
Animal,Night,Z3,0.71,Medium
Human,Night,Z1,2.38,Low
Vehicle,Day,Z2,5.8,Medium
Vehicle,Night,Z1,4.37,Low
Animal,Day,Z2,2.24,Low
Animal,Day,Z1,3.29,Low
Human,Day,Z2,1.74,Medium
Vehicle,Night,Z3,6.53,High
Vehicle,Day,Z1,6.58,Low
Vehicle,Day,Z2,3.65,Medium
Animal,Day,Z3,1.34,Medium
Human,Day,Z1,2.27,Low
Vehicle,Night,Z1,4.53,Low
Animal,Night,Z3,2.23,Medium
Human,Day,Z3,2.6,Low
Vehicle,Night,Z3,6.93,High
Human,Day,Z2,1.81,Medium
Human,Night,Z2,2.49,Medium
Animal,Day,Z1,2.39,Low
Animal,Night,Z2,0.75,Low
Animal,Day,Z1,2.78,Low
Human,Night,Z1,1.15,Low
Human,Night,Z1,2.64,Low
Animal,Day,Z2,2.63,Low
Human,Day,Z1,2.3,Low
Human,Night,Z1,1.94,Low
Human,Day,Z1,2.83,Low
Animal,Night,Z1,3.14,Low
Vehicle,Day,Z3,4.3,High
Human,Night,Z2,3.45,Medium
Animal,Day,Z1,1.44,Low
Human,Day,Z3,0.64,Low
Animal,Day,Z1,1.88,Low
Human,Day,Z2,0.67,Medium
Vehicle,Day,Z2,2.39,Medium
Human,Day,Z2,3.49,Medium
Human,Night,Z2,3.1,Medium
Human,Day,Z3,3.3,Low
Human,Night,Z1,1.22,Low
Animal,Day,Z3,3.62,Medium
Animal,Day,Z2,1.89,Low
Human,Night,Z2,2.92,Medium
Animal,Day,Z2,0.81,Low
Vehicle,Day,Z3,6.9,High
Vehicle,Day,Z1,4.72,Low
Human,Day,Z3,2.89,Low
Animal,Night,Z1,3.77,Low
Animal,Day,Z1,3.27,Low
Animal,Night,Z3,2.31,Medium
Human,Day,Z3,1.89,Low
Animal,Night,Z1,3.87,Low
Vehicle,Night,Z3,6.37,High
Human,Day,Z1,3.28,Low
Animal,Night,Z3,3.8,Medium
Vehicle,Night,Z3,2.2,High
Human,Day,Z1,1.73,Low
Animal,Day,Z2,1.62,Low
Vehicle,Night,Z2,2.65,Medium
Human,Day,Z3,0.69,Low
Vehicle,Night,Z2,2.54,Medium
Human,Night,Z3,2.24,High
Animal,Day,Z3,2.42,Medium
Animal,Day,Z1,1.08,Low
Human,Night,Z3,1.84,High
Animal,Day,Z2,3.03,Low
Human,Day,Z2,2.2,Medium
Human,Night,Z3,1.43,High
Animal,Night,Z3,3.45,Medium
Animal,Day,Z3,0.96,Medium
Human,Day,Z2,2.18,Medium
Human,Night,Z1,0.77,Low
Animal,Night,Z1,3.23,Low
Animal,Day,Z3,1.91,Medium
Human,Day,Z1,3.2,Low
Human,Night,Z3,2.23,High
Human,Night,Z1,0.74,Low
Vehicle,Night,Z2,6.16,Medium
Animal,Day,Z3,1.91,Medium
Human,Day,Z2,2.01,Medium
Human,Night,Z1,2.72,Low
Animal,Day,Z2,2.99,Low
Human,Day,Z1,2.14,Low
Vehicle,Day,Z3,3.94,High
Vehicle,Day,Z3,7.74,High
Human,Night,Z2,2.91,Medium
Animal,Day,Z2,1.89,Low
Human,Night,Z2,0.54,Medium
Human,Day,Z2,2.69,Medium
Vehicle,Night,Z1,2.63,Low
Human,Night,Z3,0.63,High
Human,Night,Z2,0.98,Medium
Human,Night,Z1,1.65,Low
Animal,Day,Z3,3.33,Medium
Vehicle,Day,Z2,3.97,Medium
Vehicle,Day,Z2,2.59,Medium
Vehicle,Night,Z2,7.79,Medium
Vehicle,Day,Z1,4.14,Low
Animal,Day,Z1,2.42,Low
Animal,Night,Z2,1.55,Low
Animal,Day,Z3,1.64,Medium
Human,Day,Z2,2.73,Medium
Human,Day,Z2,1.0,Medium
Human,Night,Z2,0.58,Medium
Vehicle,Night,Z1,2.85,Low
Animal,Day,Z2,0.56,Low
Vehicle,Night,Z2,2.75,Medium
Animal,Night,Z2,1.55,Low
Human,Day,Z1,1.6,Low
Animal,Night,Z2,1.11,Low
Human,Night,Z3,0.97,High
Animal,Night,Z2,2.28,Low
Human,Night,Z1,0.85,Low
Animal,Night,Z1,1.69,Low
Vehicle,Day,Z2,7.57,Medium
Animal,Day,Z3,0.61,Medium
Human,Day,Z1,2.85,Low
Animal,Night,Z1,3.09,Low
Human,Day,Z2,0.81,Medium
Human,Night,Z1,3.29,Low
Vehicle,Night,Z2,6.36,Medium
Human,Night,Z2,1.79,Medium
Human,Day,Z3,0.61,Low
Animal,Night,Z3,1.35,Medium
Vehicle,Night,Z1,2.7,Low
Animal,Night,Z2,3.62,Low
Human,Day,Z2,1.07,Medium
Human,Night,Z2,1.44,Medium
Animal,Night,Z3,0.77,Medium
Human,Night,Z3,2.54,High
Animal,Day,Z2,1.15,Low
Human,Night,Z1,3.04,Low
Animal,Day,Z2,2.46,Low
Animal,Night,Z2,2.85,Low
Vehicle,Day,Z3,5.59,High
Vehicle,Night,Z2,5.13,Medium
Vehicle,Day,Z1,3.43,Low
Human,Night,Z2,1.51,Medium
Animal,Day,Z1,2.32,Low
Animal,Night,Z3,1.77,Medium
Human,Day,Z1,2.08,Low
Human,Day,Z1,1.52,Low
Human,Night,Z1,0.63,Low
Human,Day,Z2,1.56,Medium
Animal,Night,Z2,3.0,Low
Animal,Day,Z2,3.21,Low
Animal,Day,Z3,1.95,Medium
Vehicle,Day,Z1,5.58,Low
Human,Night,Z1,2.2,Low
Vehicle,Day,Z1,3.87,Low
Human,Day,Z2,2.53,Medium
Human,Day,Z1,1.25,Low
Vehicle,Day,Z1,7.35,Low
Human,Night,Z3,1.48,High
Human,Night,Z3,1.62,High
Animal,Night,Z3,3.53,Medium
Human,Day,Z1,2.57,Low
Human,Day,Z1,3.48,Low
Vehicle,Night,Z3,7.1,High
Vehicle,Night,Z3,7.24,High
Vehicle,Night,Z1,2.58,Low
Vehicle,Day,Z2,3.12,Medium
Animal,Day,Z2,3.07,Low
Human,Night,Z1,2.52,Low
Animal,Day,Z3,3.95,Medium
Human,Night,Z3,1.73,High
Animal,Day,Z3,1.21,Medium
Vehicle,Day,Z1,7.0,Low
Vehicle,Day,Z3,4.83,High
Human,Night,Z1,2.07,Low
Human,Night,Z2,3.33,Medium
Animal,Day,Z2,1.63,Low
Human,Day,Z1,1.22,Low
Human,Day,Z2,0.84,Medium
Animal,Day,Z3,3.1,Medium
Animal,Day,Z2,2.12,Low
Animal,Night,Z3,0.79,Medium
Human,Night,Z3,1.17,High
Human,Day,Z1,2.62,Low
Vehicle,Day,Z2,4.88,Medium
Animal,Night,Z1,2.47,Low
Human,Night,Z3,2.15,High
Human,Night,Z2,1.13,Medium
Human,Day,Z1,0.76,Low
Vehicle,Day,Z1,6.3,Low
Human,Day,Z1,1.72,Low
Human,Night,Z3,1.56,High
Animal,Day,Z3,3.31,Medium
Animal,Night,Z2,3.53,Low
Animal,Night,Z2,3.13,Low
Animal,Day,Z2,0.86,Low
Vehicle,Night,Z3,6.57,High
Human,Day,Z1,1.27,Low
Animal,Night,Z1,1.94,Low
Human,Day,Z1,2.93,Low
Vehicle,Day,Z3,7.16,High
Human,Night,Z2,3.3,Medium
Animal,Night,Z3,1.94,Medium
Animal,Night,Z3,1.87,Medium
Human,Day,Z2,1.6,Medium
Vehicle,Day,Z2,4.34,Medium
Animal,Day,Z1,2.98,Low
Vehicle,Night,Z2,6.66,Medium
Vehicle,Day,Z2,7.37,Medium
Vehicle,Day,Z1,5.68,Low
Animal,Day,Z2,1.64,Low
Vehicle,Night,Z1,4.5,Low
Vehicle,Night,Z1,5.57,Low
Vehicle,Day,Z2,6.23,Medium
Human,Day,Z3,1.77,Low
Vehicle,Night,Z2,2.12,Medium
Vehicle,Day,Z1,6.13,Low
Human,Day,Z2,1.73,Medium
Animal,Night,Z3,3.3,Medium
Human,Night,Z1,2.38,Low
Human,Night,Z3,1.23,High
Animal,Night,Z1,2.08,Low
Animal,Night,Z1,2.63,Low
Animal,Night,Z3,1.42,Medium
Animal,Day,Z1,2.63,Low
Vehicle,Day,Z3,3.29,High
Vehicle,Night,Z3,3.65,High
Human,Day,Z1,2.31,Low
Vehicle,Night,Z1,3.09,Low
Vehicle,Night,Z3,2.28,High
Human,Night,Z1,0.57,Low
Human,Day,Z2,2.23,Medium
Animal,Day,Z2,2.14,Low
Human,Night,Z2,0.77,Medium
Human,Night,Z2,2.09,Medium
Human,Night,Z2,2.0,Medium
Animal,Night,Z2,3.13,Low
Vehicle,Night,Z1,2.66,Low
Human,Day,Z2,2.07,Medium
Human,Night,Z2,1.21,Medium
Human,Day,Z3,1.81,Low
Human,Day,Z1,2.28,Low
Animal,Day,Z2,0.9,Low
Animal,Day,Z2,2.47,Low
Human,Day,Z3,2.35,Low
Vehicle,Day,Z2,6.04,Medium
Vehicle,Day,Z2,7.69,Medium
Human,Day,Z2,0.63,Medium
Vehicle,Night,Z3,5.39,High
Animal,Day,Z2,2.81,Low
Animal,Night,Z2,1.65,Low
Animal,Day,Z1,0.66,Low
Animal,Night,Z1,1.47,Low
Animal,Day,Z1,3.1,Low
Human,Day,Z3,1.68,Low
Animal,Night,Z2,0.61,Low
Human,Night,Z2,3.02,Medium
Human,Night,Z2,0.59,Medium
Vehicle,Day,Z2,4.29,Medium
Human,Night,Z2,1.02,Medium
Vehicle,Night,Z1,4.34,Low
Animal,Day,Z1,1.05,Low
Human,Night,Z1,1.2,Low
Human,Day,Z3,1.1,Low
Human,Night,Z2,1.36,Medium
Human,Day,Z1,2.95,Low
Animal,Day,Z2,1.55,Low
Human,Night,Z3,0.91,High
Human,Day,Z2,0.96,Medium
Animal,Night,Z1,0.64,Low
Vehicle,Night,Z1,3.26,Low
Vehicle,Day,Z2,7.47,Medium
Human,Night,Z1,2.42,Low
Animal,Day,Z3,2.1,Medium
Vehicle,Day,Z1,6.41,Low
Animal,Day,Z3,2.13,Medium
Animal,Night,Z3,1.21,Medium
Animal,Day,Z1,2.23,Low
Human,Day,Z2,0.63,Medium
Vehicle,Night,Z3,7.21,High
Human,Night,Z3,2.76,High
Human,Night,Z3,1.24,High
Human,Day,Z2,2.37,Medium
Vehicle,Day,Z1,7.07,Low
Human,Day,Z3,0.5,Low
Human,Day,Z3,0.79,Low
Animal,Day,Z2,1.72,Low
Animal,Day,Z3,2.4,Medium
Animal,Night,Z2,2.33,Low
Human,Day,Z2,2.49,Medium
Vehicle,Day,Z2,4.83,Medium
Human,Night,Z1,1.12,Low
Animal,Day,Z1,3.45,Low
Vehicle,Night,Z1,3.88,Low
Human,Day,Z2,1.23,Medium
Animal,Night,Z3,1.64,Medium
Human,Day,Z3,1.86,Low
Animal,Day,Z1,0.89,Low
Human,Day,Z2,2.53,Medium
Human,Day,Z1,2.29,Low
Human,Night,Z1,2.6,Low
Animal,Day,Z3,0.87,Medium
Human,Day,Z2,2.93,Medium
Vehicle,Night,Z1,3.81,Low
Animal,Night,Z3,3.99,Medium
Vehicle,Day,Z1,5.18,Low
Human,Night,Z2,1.47,Medium
Human,Day,Z3,1.43,Low
Animal,Night,Z1,1.53,Low
Vehicle,Night,Z1,5.19,Low
Animal,Night,Z2,2.78,Low
Human,Day,Z3,2.23,Low
Vehicle,Day,Z1,6.64,Low
Human,Night,Z3,1.18,High
Human,Night,Z3,1.86,High
Human,Night,Z1,3.41,Low
Animal,Day,Z1,0.69,Low
Vehicle,Day,Z3,7.01,High
Human,Day,Z2,1.08,Medium
Vehicle,Day,Z1,5.53,Low
Human,Day,Z2,2.89,Medium
Human,Day,Z1,3.41,Low
Vehicle,Day,Z3,6.49,High
Human,Day,Z1,2.75,Low
Human,Day,Z3,2.75,Low
Vehicle,Day,Z3,5.63,High
Vehicle,Day,Z2,5.51,Medium
Human,Night,Z3,2.93,High
Animal,Day,Z2,3.1,Low
Human,Day,Z1,1.29,Low
Human,Day,Z2,1.42,Medium
Human,Night,Z2,1.94,Medium
Animal,Day,Z3,2.3,Medium
Human,Day,Z1,2.38,Low
Human,Day,Z1,2.79,Low
Human,Day,Z2,1.76,Medium
Vehicle,Day,Z2,4.15,Medium
Human,Day,Z3,3.21,Low
Animal,Day,Z1,2.74,Low
Human,Night,Z1,1.05,Low
Animal,Day,Z1,2.32,Low
Human,Day,Z3,3.44,Low
Human,Day,Z2,2.72,Medium
Animal,Night,Z3,1.15,Medium
Animal,Night,Z2,3.72,Low
Human,Day,Z2,2.44,Medium
Human,Night,Z1,2.44,Low
Human,Night,Z3,0.82,High
Vehicle,Day,Z1,7.52,Low
Vehicle,Day,Z2,2.03,Medium
Human,Day,Z2,1.9,Medium
Human,Day,Z1,1.77,Low
Animal,Day,Z3,2.84,Medium
Animal,Day,Z2,3.81,Low
Human,Night,Z3,0.92,High
Human,Night,Z2,2.82,Medium
Vehicle,Day,Z1,3.15,Low
Animal,Day,Z1,3.53,Low
Animal,Day,Z2,2.54,Low
Animal,Night,Z2,1.18,Low
Human,Day,Z1,1.0,Low
Human,Day,Z1,1.83,Low
Human,Night,Z1,2.33,Low
Vehicle,Night,Z1,2.73,Low
Animal,Day,Z2,0.97,Low
Human,Night,Z3,2.27,High
Human,Day,Z1,2.12,Low
Human,Night,Z3,1.02,High
Animal,Day,Z2,1.07,Low
Vehicle,Day,Z3,4.48,High
Vehicle,Day,Z3,4.78,High
Vehicle,Night,Z1,3.78,Low
Human,Day,Z3,1.35,Low
Animal,Day,Z1,1.35,Low
Vehicle,Day,Z3,3.19,High
Human,Day,Z1,1.37,Low
Human,Night,Z2,1.26,Medium
Human,Night,Z1,1.19,Low
Human,Day,Z2,3.3,Medium
Animal,Night,Z2,2.46,Low
Animal,Night,Z1,2.1,Low
Animal,Day,Z3,1.11,Medium
Vehicle,Night,Z1,6.24,Low
Animal,Night,Z2,1.88,Low
Human,Day,Z3,0.91,Low
Vehicle,Day,Z3,3.87,High
Animal,Night,Z1,2.76,Low
Human,Day,Z3,2.27,Low
Vehicle,Day,Z2,2.78,Medium
Human,Night,Z1,3.09,Low
Animal,Day,Z2,0.56,Low
Human,Night,Z3,1.26,High
Animal,Night,Z3,1.69,Medium
Animal,Night,Z2,1.6,Low
Human,Night,Z2,1.16,Medium
