object,time,zone,speed,risk
Human,Night,Z3,1.02,High
Animal,Day,Z3,2.22,Medium
Human,Night,Z1,0.96,Low
Vehicle,Day,Z1,2.91,Low
Vehicle,Night,Z2,6.66,Medium
Animal,Night,Z1,2.67,Low
Human,Night,Z1,2.8,Low
Animal,Day,Z3,3.31,Medium
Animal,Night,Z3,1.38,Medium
Animal,Night,Z1,3.77,Low
Animal,Night,Z3,0.86,Medium
Human,Day,Z3,0.79,Low
Vehicle,Night,Z3,6.8,High
Human,Day,Z3,3.44,Low
Animal,Day,Z2,1.9,Low
Vehicle,Night,Z1,2.25,Low
Vehicle,Day,Z2,6.41,Medium
Human,Day,Z2,1.9,Medium
Human,Night,Z1,1.39,Low
Animal,Day,Z3,0.96,Medium
Animal,Day,Z3,2.16,Medium
Human,Day,Z1,1.15,Low
Human,Night,Z2,3.45,Medium
Human,Day,Z3,1.1,Low
Human,Night,Z1,1.65,Low
Human,Night,Z2,2.83,Medium
Vehicle,Day,Z1,7.05,Low
Human,Night,Z3,3.19,High
Vehicle,Night,Z1,4.01,Low
Vehicle,Day,Z2,4.35,Medium
Human,Night,Z3,1.86,High
Human,Day,Z1,2.29,Low
Human,Day,Z3,1.65,Low
Animal,Day,Z2,1.66,Low
Human,Day,Z2,0.65,Medium
Human,Day,Z1,2.89,Low
Animal,Day,Z2,0.92,Low
Vehicle,Day,Z3,5.8,High
Human,Day,Z1,2.35,Low
Animal,Night,Z2,3.13,Low
Animal,Day,Z1,1.03,Low
Vehicle,Night,Z2,3.99,Medium
Animal,Day,Z2,1.36,Low
Vehicle,Day,Z2,4.63,Medium
Human,Night,Z3,2.76,High
Vehicle,Day,Z3,7.74,High
Human,Night,Z3,0.83,High
Animal,Night,Z3,2.56,Medium
Vehicle,Day,Z3,6.9,High
Human,Night,Z3,0.63,High
Animal,Night,Z1,2.78,Low
Human,Night,Z2,3.2,Medium
Animal,Day,Z2,2.46,Low
Human,Day,Z1,0.93,Low
Human,Day,Z1,1.29,Low
Vehicle,Day,Z1,5.11,Low
Animal,Day,Z3,2.13,Medium
Human,Day,Z1,0.85,Low
Human,Day,Z1,2.27,Low
Vehicle,Day,Z1,7.07,Low
Human,Day,Z1,2.83,Low
Human,Night,Z1,2.2,Low
Animal,Night,Z1,2.61,Low
Human,Day,Z1,1.02,Low
Animal,Day,Z2,1.25,Low
Vehicle,Day,Z2,3.65,Medium
Animal,Day,Z3,2.06,Medium
Animal,Day,Z1,2.55,Low
Vehicle,Night,Z1,5.57,Low
Animal,Day,Z2,3.29,Low
Human,Day,Z2,0.82,Medium
Vehicle,Night,Z1,3.88,Low
Human,Day,Z1,3.19,Low
Human,Night,Z3,2.09,High
Animal,Day,Z1,0.69,Low
Animal,Night,Z1,3.87,Low
Human,Day,Z1,2.05,Low
Human,Night,Z2,2.58,Medium
Vehicle,Day,Z3,4.48,High
Animal,Day,Z3,2.42,Medium
Vehicle,Day,Z3,5.59,High
Vehicle,Day,Z3,4.5,High
Human,Night,Z1,2.3,Low
Human,Day,Z1,2.12,Low
Animal,Night,Z2,1.19,Low
Animal,Night,Z2,2.7,Low
Human,Night,Z2,1.94,Medium
Vehicle,Night,Z2,6.99,Medium
Human,Day,Z1,2.57,Low
Vehicle,Day,Z1,5.39,Low
Vehicle,Day,Z1,6.16,Low
Human,Day,Z1,0.96,Low
Human,Night,Z2,2.04,Medium
Animal,Night,Z1,3.83,Low
Human,Day,Z1,2.29,Low
Human,Night,Z3,0.91,High
Vehicle,Night,Z3,7.93,High
Animal,Night,Z1,3.09,Low
Human,Day,Z2,1.08,Medium
Animal,Day,Z3,3.62,Medium
Human,Night,Z1,2.34,Low
Human,Day,Z1,1.4,Low
Animal,Day,Z3,3.13,Medium
Animal,Night,Z3,3.99,Medium
Vehicle,Day,Z3,4.83,High
Animal,Night,Z3,1.29,Medium
Human,Day,Z1,2.07,Low
Animal,Night,Z1,2.71,Low
Animal,Night,Z2,3.53,Low
Human,Day,Z1,0.52,Low
Human,Night,Z2,0.84,Medium
Animal,Day,Z2,2.38,Low
Human,Day,Z2,2.87,Medium
Human,Day,Z1,2.79,Low
Human,Day,Z1,1.71,Low
Animal,Day,Z1,2.47,Low
Human,Night,Z1,1.07,Low
Animal,Day,Z2,1.41,Low
Animal,Night,Z3,0.79,Medium
Human,Day,Z1,1.21,Low
Human,Day,Z1,1.0,Low
Human,Day,Z2,3.09,Medium
Human,Night,Z3,2.87,High
Animal,Night,Z3,2.71,Medium
Animal,Day,Z1,1.48,Low
Human,Day,Z2,2.51,Medium
Human,Day,Z1,2.41,Low
Animal,Day,Z3,1.11,Medium
Human,Night,Z1,2.04,Low
Animal,Day,Z1,1.94,Low
Human,Night,Z2,3.3,Medium
Vehicle,Day,Z2,5.8,Medium
Animal,Day,Z2,1.59,Low
Human,Night,Z2,1.64,Medium
Animal,Night,Z3,1.43,Medium
Human,Day,Z1,3.28,Low
Human,Night,Z2,2.93,Medium
Human,Night,Z3,0.54,High
Human,Night,Z1,0.96,Low
Animal,Day,Z1,2.42,Low
Human,Day,Z2,0.67,Medium
Animal,Night,Z1,0.64,Low
Human,Night,Z2,2.49,Medium
Human,Night,Z1,2.64,Low
Animal,Day,Z1,2.78,Low
Vehicle,Night,Z2,5.37,Medium
Animal,Day,Z2,1.51,Low
Animal,Day,Z1,3.16,Low
Human,Day,Z3,2.75,Low
Animal,Day,Z1,1.88,Low
Human,Day,Z1,2.36,Low
Animal,Day,Z1,3.43,Low
Animal,Day,Z3,3.34,Medium
Human,Night,Z1,1.56,Low
Human,Day,Z3,1.92,Low
Human,Day,Z3,3.18,Low
Vehicle,Day,Z2,2.8,Medium
Human,Night,Z3,1.73,High
Human,Day,Z1,2.67,Low
Animal,Night,Z2,1.99,Low
Human,Night,Z3,0.92,High
Vehicle,Day,Z1,4.13,Low
Human,Day,Z2,1.08,Medium
Human,Day,Z3,2.95,Low
Animal,Night,Z3,3.74,Medium
Animal,Day,Z1,1.89,Low
Vehicle,Night,Z1,5.54,Low
Animal,Day,Z3,0.9,Medium
Animal,Day,Z3,2.37,Medium
Animal,Night,Z3,1.15,Medium
Human,Night,Z1,2.84,Low
Human,Night,Z3,1.08,High
Vehicle,Day,Z1,5.18,Low
Human,Night,Z1,1.74,Low
Human,Night,Z3,2.82,High
Human,Night,Z3,0.89,High
Human,Day,Z3,2.91,Low
Human,Night,Z3,1.43,High
Human,Day,Z3,2.35,Low
Vehicle,Day,Z1,6.3,Low
Animal,Day,Z1,2.12,Low
Human,Day,Z3,1.84,Low
Human,Night,Z1,3.44,Low
Human,Night,Z1,0.69,Low
Animal,Day,Z1,0.99,Low
Animal,Day,Z2,1.49,Low
Human,Day,Z2,3.47,Medium
Vehicle,Day,Z1,5.58,Low
Vehicle,Night,Z2,7.05,Medium
Human,Day,Z2,1.81,Medium
Human,Day,Z2,2.49,Medium
Animal,Night,Z1,1.96,Low
Human,Night,Z3,2.23,High
Human,Day,Z3,2.07,Low
Animal,Day,Z1,2.63,Low
Human,Day,Z2,2.26,Medium
Human,Day,Z2,0.95,Medium
Human,Night,Z1,1.88,Low
Human,Night,Z2,2.03,Medium
Animal,Day,Z1,3.29,Low
Animal,Day,Z1,2.24,Low
Human,Night,Z1,3.48,Low
Animal,Day,Z1,3.67,Low
Human,Day,Z1,1.37,Low
Animal,Day,Z2,1.61,Low
Vehicle,Day,Z1,6.41,Low
Human,Day,Z1,2.62,Low
Human,Night,Z2,0.95,Medium
Human,Night,Z3,1.23,High
Vehicle,Night,Z1,2.94,Low
Vehicle,Night,Z3,7.1,High
Human,Night,Z2,0.99,Medium
Animal,Night,Z2,2.28,Low
Vehicle,Night,Z1,7.63,Low
Human,Day,Z1,1.03,Low
Human,Day,Z1,1.25,Low
Human,Day,Z2,1.51,Medium
Animal,Day,Z3,2.84,Medium
Human,Night,Z1,2.09,Low
Human,Night,Z1,1.89,Low
Human,Day,Z3,1.13,Low
Animal,Day,Z2,1.15,Low
Human,Day,Z3,0.5,Low
Animal,Day,Z2,3.07,Low
Animal,Night,Z1,0.75,Low
Human,Day,Z1,3.03,Low
Vehicle,Night,Z1,4.53,Low
Human,Day,Z2,2.53,Medium
Animal,Night,Z1,3.5,Low
Human,Day,Z2,2.78,Medium
Animal,Night,Z2,1.55,Low
Animal,Night,Z1,2.17,Low
Human,Day,Z3,1.51,Low
Animal,Day,Z3,3.1,Medium
Animal,Night,Z2,2.61,Low
Animal,Day,Z2,1.89,Low
Vehicle,Day,Z1,6.13,Low
Vehicle,Day,Z1,4.04,Low
Human,Day,Z1,2.07,Low
Human,Day,Z3,3.3,Low
Vehicle,Night,Z1,6.83,Low
Human,Day,Z1,2.49,Low
Human,Day,Z2,2.43,Medium
Vehicle,Day,Z3,6.49,High
Human,Night,Z2,3.31,Medium
Animal,Night,Z3,3.69,Medium
Human,Day,Z3,2.6,Low
Vehicle,Day,Z2,4.29,Medium
Human,Day,Z1,2.14,Low
Human,Night,Z3,2.56,High
Vehicle,Day,Z2,6.04,Medium
Vehicle,Day,Z2,2.62,Medium
Animal,Day,Z1,2.98,Low
Animal,Day,Z2,0.56,Low
Human,Night,Z3,1.48,High
Vehicle,Day,Z3,6.35,High
Animal,Day,Z2,1.96,Low
Human,Night,Z2,1.02,Medium
Human,Night,Z3,3.45,High
Animal,Night,Z3,1.35,Medium
Animal,Day,Z1,2.74,Low
Human,Day,Z2,2.2,Medium
Human,Night,Z2,2.05,Medium
Vehicle,Day,Z2,5.5,Medium
Vehicle,Day,Z1,2.24,Low
Vehicle,Day,Z2,5.69,Medium
Animal,Day,Z2,1.51,Low
Human,Day,Z2,1.6,Medium
Human,Day,Z1,3.34,Low
Vehicle,Night,Z2,4.51,Medium
Vehicle,Day,Z1,6.77,Low
Animal,Day,Z1,2.74,Low
Vehicle,Night,Z3,2.28,High
Vehicle,Night,Z1,3.81,Low
Human,Night,Z3,1.26,High
Human,Night,Z1,3.46,Low
Human,Night,Z3,0.87,High
Animal,Day,Z1,1.22,Low
Human,Day,Z1,2.96,Low
Human,Night,Z1,2.79,Low
Human,Night,Z1,2.33,Low
Vehicle,Night,Z3,6.37,High
Vehicle,Day,Z2,6.25,Medium
Human,Day,Z2,2.36,Medium
Vehicle,Day,Z2,3.97,Medium
Vehicle,Day,Z1,3.15,Low
Animal,Night,Z1,1.77,Low
Human,Night,Z2,2.09,Medium
Human,Night,Z3,1.56,High
Human,Day,Z2,2.21,Medium
Animal,Night,Z3,3.02,Medium
Human,Day,Z3,1.43,Low
Human,Day,Z2,2.94,Medium
Human,Day,Z1,1.23,Low
Vehicle,Day,Z1,3.24,Low
Vehicle,Night,Z3,2.2,High
Vehicle,Day,Z3,3.13,High
Human,Day,Z1,2.4,Low
Vehicle,Day,Z2,4.46,Medium
Human,Night,Z3,1.77,High
Human,Day,Z2,2.69,Medium
Human,Night,Z1,3.09,Low
Human,Night,Z2,2.43,Medium
Human,Night,Z2,1.16,Medium
Vehicle,Day,Z1,3.31,Low
Vehicle,Day,Z1,5.53,Low
Human,Night,Z3,2.92,High
Human,Night,Z2,2.39,Medium
Vehicle,Day,Z1,6.64,Low
Animal,Day,Z2,1.25,Low
Human,Night,Z3,0.8,High
Human,Day,Z3,1.86,Low
Human,Day,Z1,1.83,Low
Animal,Day,Z3,0.61,Medium
Animal,Day,Z3,3.34,Medium
Animal,Night,Z2,1.6,Low
Human,Day,Z1,0.88,Low
Human,Day,Z1,3.06,Low
Vehicle,Day,Z1,4.23,Low
Animal,Day,Z2,1.55,Low
Vehicle,Day,Z1,6.65,Low
Vehicle,Day,Z1,7.86,Low
Animal,Night,Z3,1.77,Medium
Animal,Day,Z1,1.16,Low
Human,Day,Z2,2.37,Medium
Animal,Night,Z2,3.62,Low
Vehicle,Night,Z3,4.05,High
Human,Night,Z2,1.78,Medium
Human,Night,Z1,2.95,Low
Animal,Day,Z3,0.66,Medium
Human,Day,Z3,2.89,Low
Vehicle,Night,Z3,3.04,High
Animal,Night,Z3,3.09,Medium
Human,Day,Z1,2.91,Low
Vehicle,Day,Z2,7.3,Medium
Human,Night,Z1,0.63,Low
Animal,Night,Z1,3.76,Low
Human,Day,Z2,3.49,Medium
Animal,Day,Z2,1.62,Low
Animal,Day,Z2,2.93,Low
Human,Day,Z3,1.81,Low
Animal,Night,Z1,0.81,Low
Human,Day,Z2,0.89,Medium
Animal,Day,Z3,2.82,Medium
Human,Day,Z1,0.99,Low
Human,Day,Z3,0.64,Low
Animal,Day,Z2,1.89,Low
Vehicle,Day,Z2,7.35,Medium
Human,Night,Z1,1.41,Low
Animal,Day,Z2,0.97,Low
Human,Day,Z2,0.56,Medium
Animal,Night,Z3,1.69,Medium
Animal,Day,Z2,2.14,Low
Vehicle,Day,Z2,4.47,Medium
